video_id,frame_id,decision,source_image,selected_image
v38,v38_009,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_009.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_009.jpg
v38,v38_012,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_012.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_012.jpg
v38,v38_025,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_025.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_025.jpg
v38,v38_040,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_040.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_040.jpg
v38,v38_104,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_104.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_104.jpg
v38,v38_117,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_117.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_117.jpg
v38,v38_118,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_118.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_118.jpg
v38,v38_119,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_119.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_119.jpg
v38,v38_120,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_120.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_120.jpg
v38,v38_122,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_122.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_122.jpg
v38,v38_123,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_123.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_123.jpg
v38,v38_124,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_124.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_124.jpg
v38,v38_125,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_125.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_125.jpg
v38,v38_126,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_126.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_126.jpg
v38,v38_127,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_127.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_127.jpg
v38,v38_128,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_128.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_128.jpg
v38,v38_129,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_129.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_129.jpg
v38,v38_143,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_143.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_143.jpg
v38,v38_144,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_144.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_144.jpg
v38,v38_145,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_145.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_145.jpg
v38,v38_146,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_146.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_146.jpg
v38,v38_147,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_147.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_147.jpg
v38,v38_148,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_148.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_148.jpg
v38,v38_149,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_149.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_149.jpg
v38,v38_150,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v38\v38_150.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v38_150.jpg
