video_id,frame_id,decision,source_image,selected_image
v33,v33_065,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_065.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_065.jpg
v33,v33_067,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_067.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_067.jpg
v33,v33_076,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_076.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_076.jpg
v33,v33_078,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_078.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_078.jpg
v33,v33_083,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_083.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_083.jpg
v33,v33_086,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_086.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_086.jpg
v33,v33_090,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_090.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_090.jpg
v33,v33_098,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_098.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_098.jpg
v33,v33_224,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_224.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_224.jpg
v33,v33_227,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_227.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_227.jpg
v33,v33_234,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_234.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_234.jpg
v33,v33_244,BEST,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\adaptation_v2\extracted_frames\v33\v33_244.jpg,C:\Users\wgucg\Desktop\videos\videos\02_model_development\best_frame_selector\data\measurement_dataset\sample_best_frames\v33_244.jpg
