video_name,start_time_sec,end_time_sec,state
v01.mp4,0.000,18.000,SEWING
v01.mp4,18.000,28.000,IDLE_SETUP
v01.mp4,28.000,51.000,SEWING
v01.mp4,51.000,63.000,IDLE_SETUP
v01.mp4,63.000,84.000,SEWING
v01.mp4,84.000,93.000,IDLE_SETUP
v01.mp4,93.000,112.500,SEWING
v01.mp4,112.500,120.000,IDLE_SETUP
v01.mp4,120.000,143.000,SEWING
v01.mp4,143.000,153.000,IDLE_SETUP
v01.mp4,153.000,173.000,SEWING
v01.mp4,173.000,183.000,IDLE_SETUP
v01.mp4,183.000,206.000,SEWING
v01.mp4,206.000,217.000,IDLE_SETUP
v01.mp4,217.000,239.000,SEWING
v01.mp4,239.000,249.000,IDLE_SETUP
v01.mp4,249.000,275.000,SEWING
v02.mp4,0.000,4.670,IDLE_SETUP
v02.mp4,4.670,15.211,SEWING
v02.mp4,15.211,22.316,IDLE_SETUP
v02.mp4,22.316,32.157,SEWING
v02.mp4,32.157,37.461,IDLE_SETUP
v02.mp4,37.461,46.534,SEWING
v02.mp4,46.534,52.405,IDLE_SETUP
v02.mp4,52.405,62.646,SEWING
v02.mp4,62.646,67.783,IDLE_SETUP
v02.mp4,67.783,77.957,SEWING
v02.mp4,77.957,83.094,IDLE_SETUP
v02.mp4,83.094,93.235,SEWING
v02.mp4,93.235,99.873,IDLE_SETUP
v02.mp4,99.873,110.347,SEWING
v02.mp4,110.347,114.217,IDLE_SETUP
v02.mp4,114.217,122.656,SEWING
v03.mp4,8.373,14.611,IDLE_SETUP
v03.mp4,14.611,23.584,SEWING
v03.mp4,23.584,29.121,IDLE_SETUP
v03.mp4,29.121,41.530,SEWING
v03.mp4,41.530,47.568,IDLE_SETUP
v03.mp4,47.568,56.474,SEWING
v03.mp4,56.474,61.845,IDLE_SETUP
v03.mp4,61.845,69.717,SEWING
v03.mp4,69.717,75.388,IDLE_SETUP
v03.mp4,75.388,84.328,SEWING
v03.mp4,84.328,90.599,IDLE_SETUP
v03.mp4,90.599,99.039,SEWING
v03.mp4,99.039,104.776,IDLE_SETUP
v03.mp4,104.776,113.082,SEWING
v03.mp4,113.082,119.453,IDLE_SETUP
v03.mp4,119.453,127.526,SEWING
v03.mp4,127.526,134.331,IDLE_SETUP
v03.mp4,134.331,142.270,SEWING
v03.mp4,142.270,147.707,IDLE_SETUP
v03.mp4,147.707,155.546,SEWING
v04.mp4,0.000,25.000,SEWING
v04.mp4,25.000,40.000,IDLE_SETUP
v04.mp4,40.000,68.000,SEWING
v04.mp4,68.000,83.000,IDLE_SETUP
v04.mp4,83.000,110.000,SEWING
v04.mp4,117.000,130.000,IDLE_SETUP
v04.mp4,130.000,161.000,SEWING
v04.mp4,161.000,180.000,IDLE_SETUP
v04.mp4,180.000,212.000,SEWING
v04.mp4,218.000,234.000,IDLE_SETUP
v04.mp4,234.000,257.000,SEWING
v05.mp4,0.000,2.735,IDLE_SETUP
v05.mp4,2.735,15.244,SEWING
v05.mp4,15.244,21.115,IDLE_SETUP
v05.mp4,21.115,29.855,SEWING
v05.mp4,29.855,35.893,IDLE_SETUP
v05.mp4,35.893,44.232,SEWING
v05.mp4,44.232,49.436,IDLE_SETUP
v05.mp4,49.436,56.975,SEWING
v05.mp4,56.975,61.945,IDLE_SETUP
v05.mp4,61.945,72.186,SEWING
v05.mp4,72.186,78.057,IDLE_SETUP
v05.mp4,78.057,88.665,SEWING
v05.mp4,88.665,94.969,IDLE_SETUP
v05.mp4,94.969,104.376,SEWING
v05.mp4,104.376,110.914,IDLE_SETUP
v05.mp4,110.914,120.054,SEWING
v05.mp4,120.054,126.292,IDLE_SETUP
v05.mp4,126.292,135.332,SEWING
v05.mp4,135.332,141.370,IDLE_SETUP
v05.mp4,141.370,149.242,SEWING
v06.mp4,0.000,5.004,IDLE_SETUP
v06.mp4,5.004,32.691,SEWING
v06.mp4,32.691,40.129,IDLE_SETUP
v06.mp4,40.129,67.649,SEWING
v06.mp4,67.649,75.589,IDLE_SETUP
v06.mp4,75.589,100.674,SEWING
v06.mp4,100.674,109.814,IDLE_SETUP
v06.mp4,109.814,135.532,SEWING
v06.mp4,135.532,143.238,IDLE_SETUP
v06.mp4,143.238,174.528,SEWING
v06.mp4,174.528,186.536,IDLE_SETUP
v06.mp4,186.536,208.919,SEWING
v07.mp4,0.000,22.500,SEWING
v07.mp4,22.500,32.000,IDLE_SETUP
v07.mp4,32.000,55.000,SEWING
v07.mp4,55.000,68.000,IDLE_SETUP
v07.mp4,68.000,88.000,SEWING
v07.mp4,88.000,99.000,IDLE_SETUP
v07.mp4,99.000,116.000,SEWING
v08.mp4,0.000,4.270,IDLE_SETUP
v08.mp4,4.270,14.110,SEWING
v08.mp4,14.110,19.347,IDLE_SETUP
v08.mp4,19.347,27.920,SEWING
v08.mp4,27.920,32.924,IDLE_SETUP
v08.mp4,32.924,40.996,SEWING
v08.mp4,40.996,46.567,IDLE_SETUP
v08.mp4,46.567,57.976,SEWING
v08.mp4,57.976,63.146,IDLE_SETUP
v08.mp4,63.146,72.419,SEWING
v08.mp4,72.419,77.990,IDLE_SETUP
v08.mp4,77.990,86.396,SEWING
v08.mp4,86.396,92.901,IDLE_SETUP
v08.mp4,92.901,101.974,SEWING
v08.mp4,101.974,107.111,IDLE_SETUP
v08.mp4,107.111,116.418,SEWING
v08.mp4,116.418,122.889,IDLE_SETUP
v08.mp4,122.889,133.497,SEWING
v08.mp4,133.497,139.034,IDLE_SETUP
v08.mp4,139.034,148.742,SEWING
v08.mp4,148.742,157.214,IDLE_SETUP
v08.mp4,157.214,166.688,SEWING
v08.mp4,166.688,172.526,IDLE_SETUP
v08.mp4,172.526,181.065,SEWING
v09.mp4,0.600,5.103,IDLE_SETUP
v09.mp4,5.103,14.577,SEWING
v09.mp4,14.577,20.381,IDLE_SETUP
v09.mp4,20.381,31.255,SEWING
v09.mp4,31.255,37.092,IDLE_SETUP
v09.mp4,37.092,45.531,SEWING
v09.mp4,45.531,50.835,IDLE_SETUP
v09.mp4,50.835,60.341,SEWING
v09.mp4,60.341,65.978,IDLE_SETUP
v09.mp4,65.978,75.184,SEWING
v09.mp4,75.184,82.089,IDLE_SETUP
v09.mp4,82.089,92.296,SEWING
v09.mp4,92.296,97.566,IDLE_SETUP
v09.mp4,97.566,108.707,SEWING
v09.mp4,108.707,114.011,IDLE_SETUP
v09.mp4,114.011,123.417,SEWING
v09.mp4,123.417,129.255,IDLE_SETUP
v09.mp4,129.255,137.760,SEWING
v09.mp4,137.760,143.464,IDLE_SETUP
v09.mp4,143.464,154.272,SEWING
v09.mp4,154.272,160.542,IDLE_SETUP
v09.mp4,160.542,169.715,SEWING
v09.mp4,169.715,175.286,IDLE_SETUP
v09.mp4,175.286,182.491,SEWING
v10.mp4,42.000,56.000,IDLE_SETUP
v10.mp4,56.000,79.500,SEWING
v10.mp4,79.500,89.000,IDLE_SETUP
v10.mp4,89.000,111.500,SEWING
v10.mp4,111.500,124.000,IDLE_SETUP
v10.mp4,124.000,145.000,SEWING
v10.mp4,145.000,156.000,IDLE_SETUP
v10.mp4,156.000,178.000,SEWING
v10.mp4,178.000,188.000,IDLE_SETUP
v10.mp4,188.000,208.000,SEWING
v11.mp4,21.480,38.690,SEWING
v11.mp4,38.690,49.110,IDLE_SETUP
v11.mp4,49.110,67.980,SEWING
v11.mp4,67.980,78.630,IDLE_SETUP
v11.mp4,78.630,100.750,SEWING
v11.mp4,100.750,109.820,IDLE_SETUP
v11.mp4,109.820,129.740,SEWING
v11.mp4,129.740,138.610,IDLE_SETUP
v11.mp4,138.610,164.630,SEWING
v11.mp4,173.290,179.700,IDLE_SETUP
v11.mp4,179.700,196.000,SEWING
v12.mp4,2.669,7.305,IDLE_SETUP
