video_id,event_id,frame_id,state,split,source_path,dataset_path,image_status
v01,,v01_001,INVALID,train,v01/v01_001.jpg,train/INVALID/v01_001.jpg,HARDLINK
v01,,v01_002,INVALID,train,v01/v01_002.jpg,train/INVALID/v01_002.jpg,HARDLINK
v01,,v01_003,INVALID,train,v01/v01_003.jpg,train/INVALID/v01_003.jpg,HARDLINK
v01,,v01_004,INVALID,train,v01/v01_004.jpg,train/INVALID/v01_004.jpg,HARDLINK
v01,,v01_005,INVALID,train,v01/v01_005.jpg,train/INVALID/v01_005.jpg,HARDLINK
v01,,v01_006,INVALID,train,v01/v01_006.jpg,train/INVALID/v01_006.jpg,HARDLINK
v01,,v01_007,INVALID,train,v01/v01_007.jpg,train/INVALID/v01_007.jpg,HARDLINK
v01,,v01_008,INVALID,train,v01/v01_008.jpg,train/INVALID/v01_008.jpg,HARDLINK
v01,,v01_009,INVALID,train,v01/v01_009.jpg,train/INVALID/v01_009.jpg,HARDLINK
v01,,v01_010,INVALID,train,v01/v01_010.jpg,train/INVALID/v01_010.jpg,HARDLINK
v01,,v01_011,INVALID,train,v01/v01_011.jpg,train/INVALID/v01_011.jpg,HARDLINK
v01,,v01_012,INVALID,train,v01/v01_012.jpg,train/INVALID/v01_012.jpg,HARDLINK
v01,,v01_013,INVALID,train,v01/v01_013.jpg,train/INVALID/v01_013.jpg,HARDLINK
v01,,v01_014,INVALID,train,v01/v01_014.jpg,train/INVALID/v01_014.jpg,HARDLINK
v01,,v01_015,INVALID,train,v01/v01_015.jpg,train/INVALID/v01_015.jpg,HARDLINK
v01,v01_E001,v01_016,NOT_READY,train,v01/v01_016.jpg,train/NOT_READY/v01_016.jpg,HARDLINK
v01,v01_E001,v01_017,NOT_READY,train,v01/v01_017.jpg,train/NOT_READY/v01_017.jpg,HARDLINK
v01,v01_E001,v01_018,NOT_READY,train,v01/v01_018.jpg,train/NOT_READY/v01_018.jpg,HARDLINK
v01,v01_E001,v01_019,NOT_READY,train,v01/v01_019.jpg,train/NOT_READY/v01_019.jpg,HARDLINK
v01,v01_E001,v01_020,NOT_READY,train,v01/v01_020.jpg,train/NOT_READY/v01_020.jpg,HARDLINK
v01,v01_E001,v01_021,NOT_READY,train,v01/v01_021.jpg,train/NOT_READY/v01_021.jpg,HARDLINK
v01,v01_E001,v01_022,NOT_READY,train,v01/v01_022.jpg,train/NOT_READY/v01_022.jpg,HARDLINK
v01,v01_E001,v01_023,NOT_READY,train,v01/v01_023.jpg,train/NOT_READY/v01_023.jpg,HARDLINK
