epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,46.998,0.6829,2.06907,1.78822,1.19052,0,0.8566,0.48485,0.6887,0.20452,0.74953,0.42424,0.51152,0.12635,1.86801,7.38133,3.49077,2.50641,0,0.000654321,0.000654321,0.000654321
2,92.4508,0.68451,1.46334,1.2241,1.1708,0,0.76828,0.70335,0.75458,0.50738,0.76137,0.69697,0.74602,0.48481,1.26551,3.10366,2.45461,2.06032,0,0.00130791,0.00130791,0.00130791
3,133.928,0.73572,1.52168,1.07751,1.18007,0,0.74248,0.78788,0.75542,0.39322,0.25796,0.27273,0.14224,0.0563,1.60737,16.8999,1.83043,2.29945,0,0.0019483,0.0019483,0.0019483
4,174.152,0.76561,1.52192,1.03655,1.20236,0,0.68705,0.65152,0.71312,0.35382,0.73069,0.65781,0.69608,0.43812,1.54581,2.51279,1.9844,2.32381,0,0.0019406,0.0019406,0.0019406
5,215.313,0.69347,1.47121,0.90839,1.16171,0,0.79332,0.90909,0.87948,0.61842,0.79332,0.90909,0.87888,0.67478,0.98486,1.37664,1.33036,1.6612,0,0.0019208,0.0019208,0.0019208
6,255.253,0.6618,1.39928,0.81435,1.13843,0,0.8078,0.83333,0.89176,0.60914,0.81104,0.83333,0.86942,0.63338,0.99151,1.51583,1.28233,1.57413,0,0.001901,0.001901,0.001901
7,295.535,0.68484,1.34122,0.79647,1.15586,0,0.85626,0.90259,0.89354,0.65585,0.8557,0.89855,0.90424,0.69231,0.83617,1.18261,1.07707,1.43264,0,0.0018812,0.0018812,0.0018812
8,337.494,0.63566,1.32448,0.73994,1.12692,0,0.96994,0.77273,0.8924,0.63773,0.96994,0.77273,0.8924,0.70816,0.90147,1.41665,1.06724,1.38179,0,0.0018614,0.0018614,0.0018614
9,376.216,0.64787,1.37059,0.70167,1.1127,0,0.90815,0.93939,0.95279,0.77822,0.90815,0.93939,0.95279,0.79668,0.68636,1.04337,0.75107,1.29086,0,0.0018416,0.0018416,0.0018416
10,415.881,0.58098,1.24514,0.65994,1.08189,0,0.98183,0.92424,0.95382,0.80097,0.98183,0.92424,0.94331,0.72588,0.61281,1.84848,0.69006,1.22022,0,0.0018218,0.0018218,0.0018218
11,456.599,0.57403,1.20768,0.62277,1.07751,0,0.95291,0.91982,0.95936,0.72543,0.95291,0.91982,0.95352,0.77692,0.85906,1.29863,0.77437,1.50713,0,0.001802,0.001802,0.001802
12,496.651,0.55677,1.26429,0.62346,1.0717,0,0.99206,0.92424,0.96036,0.80873,0.99206,0.92424,0.96066,0.82638,0.61402,0.85301,0.75074,1.21809,0,0.0017822,0.0017822,0.0017822
13,536.438,0.5435,1.2648,0.60388,1.057,0,0.98033,0.92424,0.95538,0.82044,0.98033,0.92424,0.94441,0.84226,0.56359,1.0184,0.68712,1.14807,0,0.0017624,0.0017624,0.0017624
14,576.819,0.55591,1.27147,0.58757,1.0714,0,0.8703,0.91507,0.92854,0.73088,0.87406,0.90909,0.91186,0.78261,0.74954,1.05923,0.85657,1.3278,0,0.0017426,0.0017426,0.0017426
15,616.098,0.54487,1.26198,0.57437,1.05503,0,0.93429,0.90909,0.94306,0.66416,0.93429,0.90909,0.94299,0.71458,0.89886,1.3082,0.90001,1.3657,0,0.0017228,0.0017228,0.0017228
16,655.285,0.51068,1.24161,0.54482,1.03629,0,0.96054,0.93939,0.95101,0.828,0.96054,0.93939,0.95101,0.79787,0.56228,1.09436,0.59285,1.14179,0,0.001703,0.001703,0.001703
17,695.471,0.51359,1.17153,0.53388,1.04004,0,0.98156,0.90909,0.95762,0.82754,0.98156,0.90909,0.95762,0.84672,0.52936,0.96434,0.55752,1.12091,0,0.0016832,0.0016832,0.0016832
18,736.938,0.49849,1.1584,0.53004,1.03147,0,0.96919,0.95325,0.96473,0.86861,0.96919,0.95325,0.96883,0.83824,0.53772,0.93383,0.49094,1.10902,0,0.0016634,0.0016634,0.0016634
19,777.307,0.50727,1.28836,0.52572,1.03929,0,0.96253,0.89394,0.9423,0.81007,0.96253,0.89394,0.94472,0.78654,0.58059,1.38806,0.59465,1.18549,0,0.0016436,0.0016436,0.0016436
20,817.522,0.49282,1.14821,0.50883,1.02887,0,0.95239,0.90909,0.94101,0.81238,0.95239,0.90909,0.93442,0.78907,0.59615,1.23778,0.5768,1.20371,0,0.0016238,0.0016238,0.0016238
21,857.819,0.46583,1.14287,0.52105,1.02566,0,0.96473,0.93939,0.9559,0.83471,0.98096,0.90909,0.93498,0.83363,0.56811,1.11892,0.57256,1.15199,0,0.001604,0.001604,0.001604
22,896.787,0.46246,1.1132,0.52056,1.01836,0,0.92301,0.93939,0.94915,0.70602,0.92301,0.93939,0.95031,0.76121,0.69287,0.94144,0.64902,1.33532,0,0.0015842,0.0015842,0.0015842
23,937.164,0.45409,1.18216,0.48279,1.01495,0,0.93249,0.87879,0.94774,0.76421,0.91834,0.85198,0.93668,0.78732,0.62796,1.18464,0.59486,1.2553,0,0.0015644,0.0015644,0.0015644
24,976.903,0.44894,1.11929,0.47236,1.00737,0,0.95243,0.95455,0.96205,0.86992,0.90609,0.90909,0.90523,0.78651,0.49147,1.22017,0.48606,1.09688,0,0.0015446,0.0015446,0.0015446
25,1016.66,0.452,1.16276,0.46789,1.00566,0,0.96871,0.93806,0.95132,0.85549,0.96871,0.93806,0.9521,0.82556,0.52942,0.97093,0.52603,1.09179,0,0.0015248,0.0015248,0.0015248
26,1059.5,0.44014,1.07032,0.47111,0.99184,0,0.99763,0.95455,0.9565,0.811,0.99763,0.95455,0.955,0.84196,0.57057,0.88886,0.53425,1.16929,0,0.001505,0.001505,0.001505
