epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4478,0.7041,2.14068,1.82914,1.20633,0,0.88731,0.71585,0.84813,0.58996,0.88731,0.71585,0.85036,0.58106,0.82811,1.92944,2.63372,1.53428,0,0.000654321,0.000654321,0.000654321
2,86.5497,0.71196,1.52707,1.27578,1.183,0,0.7337,0.71212,0.76075,0.32483,0.7337,0.71212,0.7871,0.33392,1.53092,2.33974,2.56916,2.17779,0,0.00130791,0.00130791,0.00130791
3,128.445,0.75835,1.45631,1.09164,1.20085,0,0.54374,0.66667,0.63386,0.32974,0.54801,0.69697,0.58801,0.3086,1.19383,2.7378,2.76743,2.11861,0,0.0019483,0.0019483,0.0019483
4,169.059,0.77474,1.57968,1.01609,1.22094,0,0.49618,0.52231,0.56101,0.29057,0.44231,0.43267,0.40247,0.15474,1.4575,3.79498,2.09452,2.15022,0,0.0019406,0.0019406,0.0019406
5,209.251,0.72201,1.50886,0.93171,1.17069,0,0.83659,0.77574,0.82778,0.52679,0.83865,0.69697,0.79157,0.52525,1.20988,2.68587,1.57483,1.85032,0,0.0019208,0.0019208,0.0019208
6,248.523,0.70338,1.57383,0.85361,1.15641,0,0.73503,0.46242,0.5408,0.35821,0.72003,0.42424,0.50412,0.32867,1.1624,2.70472,2.28214,1.73157,0,0.001901,0.001901,0.001901
7,288.255,0.66138,1.46818,0.79244,1.14099,0,0.86938,0.80681,0.87338,0.70228,0.88442,0.78788,0.85453,0.69288,0.76586,1.43763,1.03969,1.39122,0,0.0018812,0.0018812,0.0018812
8,328.556,0.62485,1.38612,0.7256,1.11274,0,0.85008,0.8592,0.90679,0.68316,0.85008,0.8592,0.8993,0.69648,0.82683,1.49985,0.98912,1.42512,0,0.0018614,0.0018614,0.0018614
9,367.782,0.61621,1.39407,0.68196,1.08454,0,0.8361,0.81818,0.86423,0.65551,0.8361,0.81818,0.86629,0.6957,0.77922,1.09836,0.97273,1.3552,0,0.0018416,0.0018416,0.0018416
10,408.09,0.60682,1.32438,0.67713,1.0942,0,0.83901,0.87879,0.88684,0.72732,0.85348,0.89394,0.88893,0.72007,0.72554,1.32435,1.02192,1.36812,0,0.0018218,0.0018218,0.0018218
