epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,backbone_learning_rate,classifier_learning_rate,elapsed_sec
1,0.35127858975911447,0.8731380337636544,0.8730986058163807,0.2640594602529727,0.9437185929648241,0.933062314996348,0.0001,0.0003,740.4378609999999
2,0.23970117012284836,0.9481132075471698,0.9481117971926506,0.25403433196508707,0.9517587939698492,0.9420652711869342,9.972883382072954e-05,0.0002991810233575568,768.6862275419999
3,0.2014824077413004,0.9659880834160874,0.965986773181895,0.24171667337118083,0.9567839195979899,0.9476295918204973,9.891830623632339e-05,0.0002967330663097039,785.8858995410005
4,0.180451008656766,0.9736842105263158,0.9736827506902788,0.2388350846255245,0.9628140703517588,0.9556459142796903,9.757729755661011e-05,0.0002926829491861254,755.5611248750001
5,0.16683871117758065,0.9796425024826216,0.9796415187376726,0.20405729091796443,0.9668341708542714,0.9606667073955215,9.572050015330873e-05,0.00028707504591756876,751.5664563750006
6,0.15954744778832472,0.9831181727904668,0.9831166701801233,0.2301403611748662,0.9587939698492463,0.9503665176263041,9.336825748732972e-05,0.00027997079786577355,773.5484439170004
7,0.1579221896198324,0.9826216484607746,0.9826204101819889,0.21068763791316716,0.9628140703517588,0.9552088085895916,9.05463412215599e-05,0.0002714480406590546,800.6257977079995
8,0.14776891924241092,0.9893247269116187,0.9893246736165215,0.27204959221071934,0.942713567839196,0.9289446879843042,8.728566886113101e-05,0.0002616001514088704,800.2421093329995
9,0.14746442271439061,0.9900695134061569,0.990069033530572,0.20814406814886696,0.9608040201005025,0.9529744094989148,8.362196501476347e-05,0.0002505350256506492,795.5483762499989
10,0.14034403810257234,0.9923038728897716,0.9923036636984314,0.22454645410554494,0.9577889447236181,0.9487952988227453,7.959536998847741e-05,0.00023837389521772463,803.2569622499996
11,0.13758604653187045,0.9925521350546177,0.9925518706367669,0.22102795184856683,0.964824120603015,0.9579621955503301,7.524999999999999e-05,0.00022524999999999992,797.1606720830005
12,0.13450404781156405,0.9940417080436942,0.9940414965094136,0.2299773358519952,0.9608040201005025,0.9525012576976606,7.06334638322521e-05,0.0002113071281398321,795.6432009170003
